tweet_id,text,Bag_of_Words
26,"RT @Warchamp7: COVID-19: *Cancels hockey season*

Canada: https://t.co/pqESPJBSJj","{'httpstcopqespjbsjj': 1, 'covid19': 1, 'warchamp7': 1, 'rt': 1, 'season': 1, 'canada': 1, 'cancels': 1, 'hockey': 1}"
29,"RT @Emily__Vance: #BREAKING: Dr. Bonnie Henry advises British Columbians against all non-essential travel out of Canada, including the U.S.","{'advises': 1, 'henry': 1, 'breaking': 1, 'all': 1, 'us': 1, 'rt': 1, 'canada': 1, 'out': 1, 'columbians': 1, 'travel': 1, 'bonnie': 1, 'nonessential': 1, 'dr': 1, 'emilyvance': 1, 'british': 1, 'against': 1, 'including': 1, 'of': 1, 'the': 1}"
474,"RT @spectatorindex: BREAKING: Sophie Trudeau, wife of Canada's PM, tests positive for coronavirus.","{'pm': 1, 'for': 1, 'breaking': 1, 'trudeau': 1, 'tests': 1, 'spectatorindex': 1, 'rt': 1, 'coronavirus': 1, 'sophie': 1, 'positive': 1, 'wife': 1, 'of': 1, 'canadas': 1}"
964,"@Donteewrites You think these guys are reasonable?
This applies to the education sector and university system too...upgrade the facilities of the one on ground but no, theyd rather build new ones just to play to the gallery.","{'this': 1, 'are': 1, 'guys': 1, 'system': 1, 'but': 1, 'donteewrites': 1, 'facilities': 1, 'play': 1, 'just': 1, 'tooupgrade': 1, 'applies': 1, 'build': 1, 'reasonable': 1, 'sector': 1, 'gallery': 1, 'to': 3, 'you': 1, 'theyd': 1, 'these': 1, 'on': 1, 'education': 1, 'ground': 1, 'think': 1, 'new': 1, 'ones': 1, 'university': 1, 'rather': 1, 'no': 1, 'of': 1, 'and': 1, 'one': 1, 'the': 4}"
1677,"@brucefanjoy @DalhousieU Coming from the Maritimes and moving to Ottawa, I never quite understood the strange pronounciation here.  Dalhousie University  &amp; Dalhousie, NB - normal.  Dalhousie Street, Ottawa - weird.","{'weird': 1, 'dalhousieu': 1, 'normal': 1, 'brucefanjoy': 1, 'pronounciation': 1, 'moving': 1, 'coming': 1, 'quite': 1, 'amp': 1, 'i': 1, 'nb': 1, 'to': 1, 'understood': 1, 'here': 1, 'strange': 1, 'maritimes': 1, 'university': 1, 'from': 1, 'ottawa': 2, 'street': 1, 'dalhousie': 3, 'and': 1, 'the': 2, 'never': 1}"
1697,RT @RicoScott6: Happy International Womens Day!  I am very fortunate to have the privilege and opportunity to coach and work with so many,"{'have': 1, 'am': 1, 'so': 1, 'opportunity': 1, 'womens': 1, 'rt': 1, 'i': 1, 'work': 1, 'to': 2, 'coach': 1, 'happy': 1, 'international': 1, 'ricoscott6': 1, 'with': 1, 'fortunate': 1, 'many': 1, 'very': 1, 'privilege': 1, 'day': 1, 'and': 2, 'the': 1}"
1806,@LetterkennyProb @jaredkeeso That's really unfortunate but for the greater good. I was fortunate enough to see your phenomenal show in Halifax in February.  I enjoyed it immensely.  Keep the awesome work up guys.  WAYNE FOR PRIME MINISTER!!!!,"{'for': 2, 'in': 2, 'your': 1, 'guys': 1, 'show': 1, 'wayne': 1, 'but': 1, 'good': 1, 'up': 1, 'keep': 1, 'immensely': 1, 'unfortunate': 1, 'it': 1, 'awesome': 1, 'minister': 1, 'i': 2, 'work': 1, 'letterkennyprob': 1, 'to': 1, 'was': 1, 'thats': 1, 'february': 1, 'phenomenal': 1, 'enough': 1, 'jaredkeeso': 1, 'really': 1, 'greater': 1, 'halifax': 1, 'fortunate': 1, 'see': 1, 'enjoyed': 1, 'prime': 1, 'the': 2}"
1950,"@HalifaxBank Cash machines not working either, neither is the card payment thing in the garage or shop so i can use my credit card. Lloyds, BOS etc all down not just Halifax it seems","{'down': 1, 'shop': 1, 'working': 1, 'in': 1, 'is': 1, 'neither': 1, 'etc': 1, 'so': 1, 'all': 1, 'just': 1, 'it': 1, 'bos': 1, 'thing': 1, 'credit': 1, 'or': 1, 'seems': 1, 'i': 1, 'lloyds': 1, 'machines': 1, 'garage': 1, 'payment': 1, 'can': 1, 'my': 1, 'halifaxbank': 1, 'either': 1, 'not': 2, 'use': 1, 'card': 2, 'halifax': 1, 'the': 2, 'cash': 1}"
2040,@domesticqueen34 @HalifaxBank Lol I now cant even access my Halifax app keeps saying sorry we are having technical issues try later honestly you couldn't make this up,"{'this': 1, 'are': 1, 'lol': 1, 'try': 1, 'honestly': 1, 'saying': 1, 'up': 1, 'keeps': 1, 'i': 1, 'now': 1, 'you': 1, 'my': 1, 'halifaxbank': 1, 'issues': 1, 'domesticqueen34': 1, 'even': 1, 'make': 1, 'app': 1, 'sorry': 1, 'halifax': 1, 'we': 1, 'having': 1, 'later': 1, 'couldnt': 1, 'access': 1, 'technical': 1, 'cant': 1}"
2214,RT @Dave_Examiner: Acclaimed screenwriter Sally Wainwright is receiving her Freedom of the Borough at Halifax Town Hall. Calderdale Choir a,"{'is': 1, 'screenwriter': 1, 'calderdale': 1, 'choir': 1, 'hall': 1, 'a': 1, 'rt': 1, 'sally': 1, 'freedom': 1, 'daveexaminer': 1, 'at': 1, 'acclaimed': 1, 'receiving': 1, 'her': 1, 'town': 1, 'halifax': 1, 'of': 1, 'borough': 1, 'wainwright': 1, 'the': 1}"
2250,"RT @tinayoh: #Halifax #YHZ, remember Hurricane Dorian &amp; the impacts it had on the poor, disabled &amp; elderly? More disasters &amp; crises, such a","{'dorian': 1, 'yhz': 1, 'remember': 1, 'crises': 1, 'had': 1, 'disasters': 1, 'it': 1, 'a': 1, 'rt': 1, 'impacts': 1, 'such': 1, 'amp': 3, 'on': 1, 'poor': 1, 'tinayoh': 1, 'disabled': 1, 'more': 1, 'halifax': 1, 'elderly': 1, 'hurricane': 1, 'the': 2}"
2453,I miss Living in Halifax ,"{'in': 1, 'i': 1, 'miss': 1, 'halifax': 1, 'living': 1}"
2509,RT @Jacob_White26: 'We see a lot of hams' https://t.co/R4ubB0z2Oj,"{'a': 1, 'httpstcor4ubb0z2oj': 1, 'rt': 1, 'lot': 1, 'see': 1, 'we': 1, 'jacobwhite26': 1, 'of': 1, 'hams': 1}"
2529,RT @MyHalifax_: We'd #love it if you'd watch this week's #video right here {https://t.co/loWORKAojS} this week we are checking the #awesome,"{'this': 2, 'are': 1, 'httpstcoloworkaojs': 1, 'weeks': 1, 'if': 1, 'it': 1, 'awesome': 1, 'watch': 1, 'rt': 1, 'checking': 1, 'myhalifax': 1, 'here': 1, 'week': 1, 'video': 1, 'love': 1, 'youd': 1, 'we': 1, 'right': 1, 'wed': 1, 'the': 1}"
